year;shape_id;dengue_susp;dengue_conf;dengue_fat;dengue_loc;type;shape_name;shape_type
2014;23;0;0;0;0;region;Njombe;region
2014;24;0;0;0;0;region;Pwani;region
2014;25;0;0;0;0;region;Rukwa;region
2014;26;0;0;0;0;region;Ruvuma;region
2014;27;0;0;0;0;region;Shinyanga;region
2014;28;0;0;0;0;region;Simiyu;region
2014;29;0;0;0;0;region;Singida;region
2014;30;0;0;0;0;region;Songwe;region
2014;31;0;0;0;0;region;Tabora;region
2014;32;0;0;0;0;region;Tanga;region
2014;1;2121;1017;4;1;country;Tanzania;country
2018;2;0;0;0;0;region;Arusha;region
2018;3;0;0;0;1;region;Dar-es-salaam;region
2018;4;0;0;0;0;region;Dodoma;region
2018;5;0;0;0;0;region;Geita;region
2018;6;0;0;0;0;region;Iringa;region
2018;7;0;0;0;0;region;Kagera;region
2018;8;0;0;0;0;region;Kaskazini Pemba;region
2018;9;0;0;0;0;region;Kaskazini Unguja;region
2018;10;0;0;0;0;region;Katavi;region
2018;11;0;0;0;0;region;Kigoma;region
2018;12;0;0;0;0;region;Kilimanjaro;region
2018;13;0;0;0;0;region;Kusini Pemba;region
2018;14;0;0;0;0;region;Kusini Unguja;region
2018;15;0;0;0;0;region;Lindi;region
2018;16;0;0;0;0;region;Manyara;region
2018;17;0;0;0;0;region;Mara;region
2018;18;0;0;0;0;region;Mbeya;region
2018;19;0;0;0;0;region;Mjini Magharibi;region
2018;20;0;0;0;0;region;Morogoro;region
2018;21;0;0;0;0;region;Mtwara;region
2018;22;0;0;0;0;region;Mwanza;region
2018;23;0;0;0;0;region;Njombe;region
2018;24;0;0;0;0;region;Pwani;region
2018;25;0;0;0;0;region;Rukwa;region
2018;26;0;0;0;0;region;Ruvuma;region
2018;27;0;0;0;0;region;Shinyanga;region
2018;28;0;0;0;0;region;Simiyu;region
2018;29;0;0;0;0;region;Singida;region
2018;30;0;0;0;0;region;Songwe;region
2018;31;0;0;0;0;region;Tabora;region
2018;32;0;0;0;1;region;Tanga;region
2018;1;0;11;0;1;country;Tanzania;country
