Abbreviation,Category,Creator,Title,Publisher,Contributor,Date,Type,Format,Identifier,Source,Citation,Language,Rights,Coverage
koeppen_d,Enviromental,"Beck et al., 2018",Proportion cold climate zone,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,10.1038/sdata.2018.214,Literature-based,"Beck, H., Zimmermann, N., McVicar, T. et al. Present and future Köppen-Geiger climate classification maps at 1-km resolution. Sci Data 5, 180214 (2018). https://doi.org/10.1038/sdata.2018.214",eng,CC BY 4.0,Tanzania
koeppen_e,Enviromental,"Beck et al., 2018",Proportion polar climate zone,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,10.1038/sdata.2018.214,Literature-based,"Beck, H., Zimmermann, N., McVicar, T. et al. Present and future Köppen-Geiger climate classification maps at 1-km resolution. Sci Data 5, 180214 (2018). https://doi.org/10.1038/sdata.2018.214",eng,CC BY 4.0,Tanzania
lit_conflabcap,Health,ESIDA,Confirmatory laboratory capacity,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Expert knowledge,None,eng,None,Tanzania
lit_dengue_herep_mon,Health,ESIDA,Dengue health reports,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Report-based,None,eng,None,Tanzania
lit_propseced_f,Health,ESIDA,,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,,,,eng,,Tanzania
lit_propseced_m,Health,ESIDA,,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,,,,eng,,Tanzania
lit_rdtcap,Health,ESIDA,Rapid laboratory capacity,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Expert knowledge,None,eng,None,Tanzania
lit_veccontrol,Health,ESIDA,Vector control capacity,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Expert knowledge,None,eng,None,Tanzania
lit_vectabund,Health,ESIDA,Vector abundance,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Expert knowledge,None,eng,None,Tanzania
malariaatlas_incidence,Health,Malaria Atlas Project,Annual malaria (falciparum) incidence,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,https://doi.org/10.1186/s12936-018-2500-5,Malaria Atlas Project,"Pfeffer, D.A., Lucas, T.C.D., May, D. et al. malariaAtlas: an R interface to global malariometric data hosted by the Malaria Atlas Project. Malar J 17, 352 (2018). https://doi.org/10.1186/s12936-018-2500-5",eng,CC BY 3.0,Tanzania
